# time_s X_M Y_M Z_M
8.020000000000000284e+01 5.203719467270620131e-11 6.337973561348880425e-06 2.405939491801033158e-08
8.025000000000000000e+01 5.205714486854277575e-11 6.287817159098321311e-06 2.406731047829487445e-08
8.030000000000001137e+01 5.207727009189509085e-11 6.238057566839344489e-06 2.407529477243853408e-08
8.035000000000000853e+01 5.209757200013430746e-11 6.188691643446177148e-06 2.408334843969126564e-08
8.040000000000000568e+01 5.211805226751303737e-11 6.139716272519221461e-06 2.409147212597700204e-08
8.045000000000000284e+01 5.213871258528134243e-11 6.091128362164984419e-06 2.409966648396251836e-08
8.050000000000000000e+01 5.215955466180277246e-11 6.042924844775933113e-06 2.410793217312629630e-08
8.055000000000001137e+01 5.218058024218405918e-11 5.995102678491420745e-06 2.411626986078103851e-08
8.060000000000000853e+01 5.220179114920047149e-11 5.947658850493275830e-06 2.412468022413693830e-08
8.065000000000000568e+01 5.222318910840837254e-11 5.900590361709315519e-06 2.413316394181790683e-08
8.070000000000000284e+01 5.224477591499398582e-11 5.853894240957033985e-06 2.414172170207885478e-08
8.075000000000000000e+01 5.226655338425391105e-11 5.807567540447438888e-06 2.415035420044883641e-08
8.080000000000001137e+01 5.228852335185516270e-11 5.761607335577309766e-06 2.415906213980692522e-08
8.085000000000000853e+01 5.231068767409505976e-11 5.716010724721525887e-06 2.416784623045809945e-08
8.090000000000000568e+01 5.233304822816125774e-11 5.670774829025250949e-06 2.417670719020918058e-08
8.095000000000000284e+01 5.235560688755870713e-11 5.625896800242167604e-06 2.418564575063966643e-08
8.100000000000000000e+01 5.237836558068099422e-11 5.581373801633811653e-06 2.419466264263097062e-08
8.105000000000001137e+01 5.240132624591406653e-11 5.537203022392484001e-06 2.420375860770723420e-08
8.110000000000000853e+01 5.242449084185836273e-11 5.493381674205819700e-06 2.421293439562601327e-08
8.115000000000000568e+01 5.244786134867236725e-11 5.449906990697916458e-06 2.422219076418386832e-08
8.120000000000000284e+01 5.247143976829644016e-11 5.406776227233352393e-06 2.423152847930126608e-08
8.125000000000000000e+01 5.249522812467669233e-11 5.363986660721142793e-06 2.424094831510748464e-08
8.130000000000001137e+01 5.251922847881148478e-11 5.321535594349725448e-06 2.425045105836609920e-08
8.135000000000000853e+01 5.254344290306783253e-11 5.279420348772380043e-06 2.426003750097328443e-08
8.140000000000000568e+01 5.256787348670249272e-11 5.237638263673333635e-06 2.426970844159391812e-08
8.145000000000000284e+01 5.259252234812330803e-11 5.196186701576275737e-06 2.427946468927148346e-08
8.150000000000000000e+01 5.261739162943401519e-11 5.155063045759075862e-06 2.428930706184995396e-08
8.155000000000001137e+01 5.264248349669124612e-11 5.114264700068762724e-06 2.429923638606839647e-08
8.160000000000000853e+01 5.266780014016152257e-11 5.073789088736563585e-06 2.430925349765558410e-08
8.165000000000000568e+01 5.269334378952290359e-11 5.033633658662764620e-06 2.431935924427249601e-08
8.170000000000000284e+01 5.271911671016412773e-11 4.993795878577630756e-06 2.432955448485272694e-08
8.175000000000000000e+01 5.274512115492334183e-11 4.954273230837635781e-06 2.433984008045124246e-08
8.180000000000001137e+01 5.277135942115427688e-11 4.915063220629450248e-06 2.435021690516476783e-08
